 dot result | N=         100  | MFLOPS:   93.206755555555546       | TIME:   2.1457672119140625E-006
 vvm result | N=         100  | MFLOPS:   1997.2876190476190       | TIME:   5.0067901611328125E-006
 mvv result | N=         100  | MFLOPS:   6990.5066666666671       | TIME:   2.8610229492187500E-006
 mmm result | N=         100  | MFLOPS:   8924.0510638297874       | TIME:   2.2411346435546875E-004
 dot result | N=         500  | MFLOPS:   1048.5760000000000       | TIME:   9.5367431640625000E-007
 vvm result | N=         500  | MFLOPS:   1462.4490934449093       | TIME:   1.7094612121582031E-004
 mvv result | N=         500  | MFLOPS:   3876.4362292051756       | TIME:   1.2898445129394531E-004
 mmm result | N=         500  | MFLOPS:   19863.532175263786       | TIME:   1.2585878372192383E-002
 dot result | N=        1000  | MFLOPS:   524.28800000000001       | TIME:   3.8146972656250000E-006
 vvm result | N=        1000  | MFLOPS:   1572.0779610194902       | TIME:   6.3610076904296875E-004
 mvv result | N=        1000  | MFLOPS:   3905.3109869646182       | TIME:   5.1212310791015625E-004
 mmm result | N=        1000  | MFLOPS:   26861.510578274749       | TIME:   7.4455976486206055E-002
 dot result | N=        1500  | MFLOPS:   1398.1013333333333       | TIME:   2.1457672119140625E-006
 vvm result | N=        1500  | MFLOPS:   1552.6791707798618       | TIME:   1.4491081237792969E-003
 mvv result | N=        1500  | MFLOPS:   3628.9882714862529       | TIME:   1.2400150299072266E-003
 mmm result | N=        1500  | MFLOPS:   27343.324866478015       | TIME:  0.24686098098754883     
 dot result | N=        2000  | MFLOPS:   798.91504761904764       | TIME:   5.0067901611328125E-006
 vvm result | N=        2000  | MFLOPS:   1308.4710653564186       | TIME:   3.0570030212402344E-003
 mvv result | N=        2000  | MFLOPS:   3307.1586832249163       | TIME:   2.4189949035644531E-003
 mmm result | N=        2000  | MFLOPS:   27785.208545783436       | TIME:  0.57584595680236816     
 dot result | N=        3000  | MFLOPS:   1935.8326153846153       | TIME:   3.0994415283203125E-006
 vvm result | N=        3000  | MFLOPS:   1163.3968009369125       | TIME:   7.7359676361083984E-003
 mvv result | N=        3000  | MFLOPS:   2641.6190342897130       | TIME:   6.8140029907226562E-003
 mmm result | N=        3000  | MFLOPS:   27951.584506824980       | TIME:   1.9319119453430176     
 dot result | N=        4000  | MFLOPS:   2581.1101538461539       | TIME:   3.0994415283203125E-006
 vvm result | N=        4000  | MFLOPS:   1126.3656260490097       | TIME:   1.4204978942871094E-002
 mvv result | N=        4000  | MFLOPS:   2509.4461624754604       | TIME:   1.2751817703247070E-002
 mmm result | N=        4000  | MFLOPS:   28050.319429934796       | TIME:   4.5632278919219971     
 dot result | N=        5000  | MFLOPS:   2467.2376470588238       | TIME:   4.0531158447265625E-006
 vvm result | N=        5000  | MFLOPS:   1165.5506647103286       | TIME:   2.1449089050292969E-002
 mvv result | N=        5000  | MFLOPS:   2420.4796749844186       | TIME:   2.0657062530517578E-002
 mmm result | N=        5000  | MFLOPS:   28114.681892092223       | TIME:   8.8921511173248291     
 dot result | N=        6000  | MFLOPS:   1735.5740689655172       | TIME:   6.9141387939453125E-006
 vvm result | N=        6000  | MFLOPS:   1166.2182677603225       | TIME:   3.0869007110595703E-002
 mvv result | N=        6000  | MFLOPS:   2499.9990728169805       | TIME:   2.8800010681152344E-002
 mmm result | N=        6000  | MFLOPS:   28181.646060455016       | TIME:   15.329125881195068     
 dot result | N=        7000  | MFLOPS:   1957.3418666666664       | TIME:   7.1525573730468750E-006
 vvm result | N=        7000  | MFLOPS:   1176.6980001030579       | TIME:   4.1641950607299805E-002
 mvv result | N=        7000  | MFLOPS:   2521.6669038796595       | TIME:   3.8863182067871094E-002
 mmm result | N=        7000  | MFLOPS:   28192.513478389334       | TIME:   24.332700967788696     
 dot result | N=        8000  | MFLOPS:   3947.5802352941178       | TIME:   4.0531158447265625E-006
 vvm result | N=        8000  | MFLOPS:   1181.4836841224990       | TIME:   5.4169178009033203E-002
 mvv result | N=        8000  | MFLOPS:   2562.6174194872578       | TIME:   4.9948930740356445E-002
 mmm result | N=        8000  | MFLOPS:   28249.822654550480       | TIME:   36.248015165328979     
 dot result | N=        9000  | MFLOPS:   1986.7755789473683       | TIME:   9.0599060058593750E-006
 vvm result | N=        9000  | MFLOPS:   1172.7742398718622       | TIME:   6.9067001342773438E-002
 mvv result | N=        9000  | MFLOPS:   2568.5722040561741       | TIME:   6.3070058822631836E-002
 mmm result | N=        9000  | MFLOPS:   28257.937665407524       | TIME:   51.596122026443481     
 dot result | N=       10000  | MFLOPS:   1997.2876190476190       | TIME:   1.0013580322265625E-005
 vvm result | N=       10000  | MFLOPS:   1165.5539036556390       | TIME:   8.5796117782592773E-002
 mvv result | N=       10000  | MFLOPS:   2592.9259177977183       | TIME:   7.7132940292358398E-002
 mmm result | N=       10000  | MFLOPS:   28264.891003613804       | TIME:   70.759161949157715     
