 DLS result | N=         100  | RESIDUAL:   1059.8514944129001       | MFLOPS:   1145.0461370461369       | TIME:   5.8221817016601562E-004
 DLS result | N=         500  | RESIDUAL:   158312.63922580055       | MFLOPS:   9929.9790713751336       | TIME:   8.3920955657958984E-003
 DLS result | N=        1000  | RESIDUAL:   59293.164962758317       | MFLOPS:   15934.867057601090       | TIME:   4.1836977005004883E-002
 DLS result | N=        1500  | RESIDUAL:   118774.94751548435       | MFLOPS:   18921.065188886168       | TIME:  0.11891508102416992     
 DLS result | N=        2000  | RESIDUAL:   219503.44897511238       | MFLOPS:   20727.678297033799       | TIME:  0.25730490684509277     
 DLS result | N=        3000  | RESIDUAL:   946091.04438307020       | MFLOPS:   22587.160788572604       | TIME:  0.79691290855407715     
 DLS result | N=        4000  | RESIDUAL:   496294.74755835818       | MFLOPS:   23648.590306433442       | TIME:   1.8041949272155762     
 DLS result | N=        5000  | RESIDUAL:   1794224.2522015502       | MFLOPS:   24383.034191349296       | TIME:   3.4176769256591797     
 DLS result | N=        6000  | RESIDUAL:   3816719.0056972951       | MFLOPS:   24859.771213297881       | TIME:   5.7924909591674805     
 DLS result | N=        7000  | RESIDUAL:   20265701.698262509       | MFLOPS:   25271.388557885217       | TIME:   9.0484409332275391     
 DLS result | N=        8000  | RESIDUAL:   1277143.6369391247       | MFLOPS:   25578.430207209076       | TIME:   13.344577074050903     
 DLS result | N=        9000  | RESIDUAL:   2232967.0942429723       | MFLOPS:   25879.050306965517       | TIME:   18.779669046401978     
 DLS result | N=       10000  | RESIDUAL:   1935835.8487147542       | MFLOPS:   26075.657780889469       | TIME:   25.566628932952881     
