-- OPENBLAS MATRIX MULTIPLY--
     ---THREADS---          -----MFLOPS-----
           1               28137.987760714881
           2               50437.557084992412
           3               74702.749932360079
           4               93942.410219548372
           5               117143.32874643659
           6               139533.88414949417
           7               173499.94491134843
           9               190084.99432834104
          10               210037.94430521940

---OpenBLAS Direct Linear Solver---
     ---THREADS---   -----MFLOPS-----
           1              26032
           2              47240
           3              67032
           4              87018
           5              100969
           6              118741
           7              132891
           8              143726
           9              153031
          10              162438
