 dot result | N=         100  | MFLOPS:   167.77215999999999       | TIME:   1.1920928955078125E-006
 vvm result | N=         100  | MFLOPS:   1997.2876190476190       | TIME:   5.0067901611328125E-006
 mvv result | N=         100  | MFLOPS:   6990.5066666666671       | TIME:   2.8610229492187500E-006
 mmm result | N=         100  | MFLOPS:   9436.0044994375712       | TIME:   2.1195411682128906E-004
 dot result | N=         500  | MFLOPS:   1048.5760000000000       | TIME:   9.5367431640625000E-007
 vvm result | N=         500  | MFLOPS:   1613.1938461538462       | TIME:   1.5497207641601562E-004
 mvv result | N=         500  | MFLOPS:   3819.9489981785064       | TIME:   1.3089179992675781E-004
 mmm result | N=         500  | MFLOPS:   20123.901278163743       | TIME:   1.2423038482666016E-002
 dot result | N=        1000  | MFLOPS:   493.44752941176472       | TIME:   4.0531158447265625E-006
 vvm result | N=        1000  | MFLOPS:   1577.3990221887927       | TIME:   6.3395500183105469E-004
 mvv result | N=        1000  | MFLOPS:   3876.4362292051756       | TIME:   5.1593780517578125E-004
 mmm result | N=        1000  | MFLOPS:   26238.834915014606       | TIME:   7.6222896575927734E-002
 dot result | N=        1500  | MFLOPS:   1572.8640000000000       | TIME:   1.9073486328125000E-006
 vvm result | N=        1500  | MFLOPS:   1465.8564771668221       | TIME:   1.5349388122558594E-003
 mvv result | N=        1500  | MFLOPS:   3540.4929656724817       | TIME:   1.2710094451904297E-003
 mmm result | N=        1500  | MFLOPS:   27316.098730078480       | TIME:  0.24710702896118164     
 dot result | N=        2000  | MFLOPS:   2097.1520000000000       | TIME:   1.9073486328125000E-006
 vvm result | N=        2000  | MFLOPS:   1326.7865559509687       | TIME:   3.0148029327392578E-003
 mvv result | N=        2000  | MFLOPS:   3092.5743778801843       | TIME:   2.5868415832519531E-003
 mmm result | N=        2000  | MFLOPS:   27157.716932562656       | TIME:  0.58915114402770996     
 dot result | N=        3000  | MFLOPS:   1198.3725714285715       | TIME:   5.0067901611328125E-006
 vvm result | N=        3000  | MFLOPS:   1151.6485447556288       | TIME:   7.8148841857910156E-003
 mvv result | N=        3000  | MFLOPS:   2588.8102047114494       | TIME:   6.9530010223388672E-003
 mmm result | N=        3000  | MFLOPS:   27889.809276571996       | TIME:   1.9361910820007324     
 dot result | N=        4000  | MFLOPS:   2796.2026666666666       | TIME:   2.8610229492187500E-006
 vvm result | N=        4000  | MFLOPS:   1144.8117366086660       | TIME:   1.3976097106933594E-002
 mvv result | N=        4000  | MFLOPS:   2504.7163064979659       | TIME:   1.2775897979736328E-002
 mmm result | N=        4000  | MFLOPS:   28033.289625000889       | TIME:   4.5659999847412109     
 dot result | N=        5000  | MFLOPS:   3226.3876923076923       | TIME:   3.0994415283203125E-006
 vvm result | N=        5000  | MFLOPS:   1161.4967101619443       | TIME:   2.1523952484130859E-002
 mvv result | N=        5000  | MFLOPS:   2462.5732436209064       | TIME:   2.0303964614868164E-002
 mmm result | N=        5000  | MFLOPS:   28088.804549708289       | TIME:   8.9003431797027588     
 dot result | N=        6000  | MFLOPS:   2960.6851764705884       | TIME:   4.0531158447265625E-006
 vvm result | N=        6000  | MFLOPS:   1181.1798426083828       | TIME:   3.0478000640869141E-002
 mvv result | N=        6000  | MFLOPS:   2504.7890183718328       | TIME:   2.8744935989379883E-002
 mmm result | N=        6000  | MFLOPS:   28173.932026838029       | TIME:   15.333323001861572     
 dot result | N=        7000  | MFLOPS:   2796.2026666666666       | TIME:   5.0067901611328125E-006
 vvm result | N=        7000  | MFLOPS:   1165.1901306240929       | TIME:   4.2053222656250000E-002
 mvv result | N=        7000  | MFLOPS:   2481.3272966544728       | TIME:   3.9494991302490234E-002
 mmm result | N=        7000  | MFLOPS:   28187.350429118818       | TIME:   24.337157964706421     
 dot result | N=        8000  | MFLOPS:   3195.6601904761906       | TIME:   5.0067901611328125E-006
 vvm result | N=        8000  | MFLOPS:   1166.0561579093689       | TIME:   5.4885864257812500E-002
 mvv result | N=        8000  | MFLOPS:   2522.0718470044958       | TIME:   5.0751924514770508E-002
 mmm result | N=        8000  | MFLOPS:   28241.897434918519       | TIME:   36.258187055587769     
 dot result | N=        9000  | MFLOPS:   3595.1177142857141       | TIME:   5.0067901611328125E-006
 vvm result | N=        9000  | MFLOPS:   1180.4308551852096       | TIME:   6.8619012832641602E-002
 mvv result | N=        9000  | MFLOPS:   2594.4049392709458       | TIME:   6.2442064285278320E-002
 mmm result | N=        9000  | MFLOPS:   28258.466116527925       | TIME:   51.595157146453857     
 dot result | N=       10000  | MFLOPS:   2892.6234482758623       | TIME:   6.9141387939453125E-006
 vvm result | N=       10000  | MFLOPS:   1163.7913429522753       | TIME:   8.5926055908203125E-002
 mvv result | N=       10000  | MFLOPS:   2590.5077187705551       | TIME:   7.7204942703247070E-002
 mmm result | N=       10000  | MFLOPS:   28260.794415678280       | TIME:   70.769418954849243     
