 DLS result | N=         100  | RESIDUAL:   1380.3454563148850       | MFLOPS:   2245.9459170013383       | TIME:   2.9683113098144531E-004
 DLS result | N=         500  | RESIDUAL:   21941.408899189690       | MFLOPS:   10168.897164358586       | TIME:   8.1949234008789062E-003
 DLS result | N=        1000  | RESIDUAL:   116027.89252905943       | MFLOPS:   16237.639247795747       | TIME:   4.1056871414184570E-002
 DLS result | N=        1500  | RESIDUAL:   458323.99626104854       | MFLOPS:   19088.657266473427       | TIME:  0.11787104606628418     
 DLS result | N=        2000  | RESIDUAL:   411884.30415721342       | MFLOPS:   20670.295657069953       | TIME:  0.25801920890808105     
 DLS result | N=        3000  | RESIDUAL:   1094705.9550951365       | MFLOPS:   22582.343665126424       | TIME:  0.79708290100097656     
 DLS result | N=        4000  | RESIDUAL:   905354.27585635602       | MFLOPS:   23564.944295888148       | TIME:   1.8105990886688232     
 DLS result | N=        5000  | RESIDUAL:   20589630.771386188       | MFLOPS:   24261.326239220252       | TIME:   3.4348218441009521     
 DLS result | N=        6000  | RESIDUAL:   2922941.2340581371       | MFLOPS:   24919.941018630914       | TIME:   5.7785048484802246     
 DLS result | N=        7000  | RESIDUAL:   4193489.4134868598       | MFLOPS:   25322.237318972111       | TIME:   9.0302710533142090     
 DLS result | N=        8000  | RESIDUAL:   3885408.9798529441       | MFLOPS:   25578.869384639063       | TIME:   13.344347953796387     
 DLS result | N=        9000  | RESIDUAL:   1966503.4892818073       | MFLOPS:   25882.410487952147       | TIME:   18.777230978012085     
 DLS result | N=       10000  | RESIDUAL:   2954030.6616709703       | MFLOPS:   26065.014397515220       | TIME:   25.577068805694580     
